               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022708,            0.054004,           0.0067444,             0.96827,              0.9538,             0.97383,             0.71731,            0.019709,            0.039116,           0.0032425,            0.006535,            0.006535,            0.006535
                  37,            0.022687,             0.05289,           0.0065466,             0.96749,             0.95964,             0.97096,             0.70752,            0.019751,            0.039361,           0.0034386,            0.006436,            0.006436,            0.006436
                  38,            0.022576,            0.053055,           0.0066246,             0.96978,             0.96046,             0.97694,             0.71936,            0.019605,            0.039129,           0.0031959,            0.006337,            0.006337,            0.006337
                  39,            0.022713,            0.053612,           0.0063846,             0.97312,             0.96272,             0.97768,             0.71496,            0.019482,            0.039236,           0.0033569,            0.006238,            0.006238,            0.006238
                  40,             0.02231,            0.053187,           0.0062032,             0.97179,             0.95634,             0.97842,             0.71155,            0.019299,            0.039282,           0.0030365,            0.006139,            0.006139,            0.006139
                  41,            0.022124,            0.052734,           0.0064337,             0.97235,             0.95417,             0.97468,             0.71681,            0.019556,            0.039283,           0.0032533,             0.00604,             0.00604,             0.00604
                  42,            0.022134,            0.052972,           0.0063229,             0.96905,             0.95826,             0.97194,             0.71591,            0.019263,            0.039169,            0.003292,            0.005941,            0.005941,            0.005941
                  43,            0.022032,            0.053152,           0.0061819,             0.96343,              0.9571,             0.97191,             0.71465,            0.019636,            0.039304,           0.0033991,            0.005842,            0.005842,            0.005842
                  44,            0.021937,            0.052638,            0.006261,             0.96787,             0.96268,             0.97313,             0.71602,            0.019628,            0.039292,           0.0031171,            0.005743,            0.005743,            0.005743
                  45,            0.021827,            0.052375,           0.0061102,             0.97119,              0.9596,             0.97592,               0.717,            0.019544,            0.039233,           0.0031397,            0.005644,            0.005644,            0.005644
                  46,            0.021633,            0.052287,           0.0059858,             0.97244,             0.95638,             0.97682,             0.72118,            0.019516,            0.039314,           0.0032456,            0.005545,            0.005545,            0.005545
                  47,            0.021693,             0.05139,           0.0061303,             0.96263,             0.96047,             0.97589,             0.71664,            0.019462,            0.039395,           0.0031326,            0.005446,            0.005446,            0.005446
                  48,            0.021565,            0.052337,           0.0058771,             0.96969,             0.95742,             0.97398,              0.7191,            0.019491,            0.039292,           0.0032138,            0.005347,            0.005347,            0.005347
                  49,            0.021335,            0.052002,           0.0056648,             0.96885,             0.95304,             0.97452,             0.72297,            0.019511,             0.03961,           0.0031839,            0.005248,            0.005248,            0.005248
